doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD500,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4FF,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4FB,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4F8,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4F4,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4F2,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4F1,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4EE,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4ED,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4EC,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4E8,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4E6,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4DE,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4DD,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4DC,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4A8,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4A7,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4A5,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD4A3,s,s,s,2000187123149
D2524-464823-013-01,,,,57,69-004-000,3,2024,2,VNSGN,Ho Chi Minh,2024-01-13,25244648230130142576900400000003,00B07A14EC0C06AE90EDD478,s,s,s,2000187123149
