doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,cntry,exf,packKey,epc,SOnumber,PO,SKU,UPC
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D12000087F,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-003-000,8,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800300000008,00B07A14F039C6D120000858,s,s,s,2000188591633
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C71120001540,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C7112000153C,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C71120001538,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C71120001530,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C7112000152F,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C7112000151B,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C71120001213,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,21,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000021,00B07A14F039C71120001133,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001327,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C711200012E4,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001144,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001135,s,s,s,2000188591640
D0124-470050-005-05,1,01FA,21,8958,08-004-000,22,2024,3,KHPNH,Phnom Penh,2024-05-15,01244700500050543210800400000022,00B07A14F039C71120001126,s,s,s,2000188591640
